arm,block,goal_idx,region,spawn_dist,steps,reached,goal_x,goal_y,spawn_px,spawn_py,trace_cx,trace_cy
trace,test,2,rare,275.3,26,1,592.4,417.7,323,361,310.1,288.6
trace,test,3,rare,317.2,30,1,522.3,498.2,314,259,320.7,299.1
trace,test,4,rare,282.8,28,1,638.6,397.1,358,362,336.6,304.0
trace,test,5,frequent,271.8,24,1,258.4,217.7,419,437,332.7,299.7
trace,test,6,rare,284.5,27,1,482.6,525.4,290,316,340.2,311.0
trace,test,7,rare,274.0,27,1,302.3,602.6,351,333,338.3,325.5
trace,test,8,rare,343.7,31,1,545.8,646.0,345,367,348.6,341.6
trace,test,9,rare,302.6,25,1,648.5,239.5,488,496,363.6,336.5
trace,test,10,rare,300.5,26,1,585.1,606.7,377,390,374.7,350.0
trace,test,11,rare,288.9,22,1,603.5,528.1,376,350,386.2,358.9
trace,test,12,rare,366.9,48,1,160.5,641.9,508,524,374.9,373.0
trace,test,13,rare,373.9,138,1,153.3,401.7,57,763,363.8,374.5
trace,test,14,rare,416.9,36,1,140.6,532.5,449,252,352.6,382.4
trace,test,15,rare,345.5,160,1,645.1,191.7,360,387,367.3,372.8
trace,test,16,rare,339.9,36,1,580.7,625.3,548,287,377.9,385.5
trace,test,17,rare,312.3,35,1,162.7,612.3,378,386,367.2,396.8
trace,test,18,rare,346.0,32,1,650.8,172.9,379,387,381.4,385.6
